Date,location,new_cases,new_deaths,total_cases,total_deaths,govt_pol_index,tests_per_thous,Susceptible,Infected,Recovered,I_x,Stages,Xt,Rt
2020-03-04,India,1,0,6,0,21.83,0,299926.931867824,62.6874205588837,13.380711617205,8.5704050079803,1,2.33198478596714,3.94720779894188
2020-03-05,India,22,0,28,0,28.97,0,299918.361462816,69.8054691485348,14.8330680355547,9.55522416776512,1,25.8819354427593,5.04791809529227
2020-03-06,India,1,0,29,0,28.97,0,299908.806238648,77.741394519056,16.4523668327734,10.6531145123299,1,29.4092379655961,3.64022658861323
2020-03-07,India,2,0,31,0,28.97,0,299898.153124136,86.5890859385003,18.2577899256655,11.8735480227042,1,22.9162144395666,11.1387499472359
2020-03-08,India,3,0,34,0,28.97,0,299886.279576113,96.4502960977241,20.2701277891474,13.225996679801,1,31.5529334450208,5.78959101539379
2020-03-09,India,10,0,44,0,28.97,0,299873.053579433,107.434641110388,22.5117794562476,14.7199324644171,1,37.0884675888203,5.81377598514448
2020-03-10,India,6,0,50,0,28.97,0,299858.333646969,119.659600512955,25.0067525181066,16.3837422711658,1,43.4003293614647,9.43771775593971
2020-03-11,India,23,0,73,0,28.97,0,299841.949904698,133.266159541013,27.7839357612474,18.2587583204149,1,58.8817842775348,10.3116965398557
2020-03-12,India,2,1,75,1,28.97,0,299823.691146377,148.429572513968,30.8792811087065,20.3136470037862,1,72.3486185389185,5.89220674849622
2020-03-13,India,8,1,83,2,31.75,0,299803.377499374,165.299299718226,34.3232009082367,22.5850694136461,1,78.6716713405528,9.54944855768503
2020-03-14,India,7,0,90,2,31.75,0,299780.79242996,184.055194667584,38.1523753725047,25.1140218194923,1,80.2013545684885,17.9548552253842
2020-03-15,India,3,0,93,2,31.75,0,299755.67840814,204.911087595531,42.4105042640512,27.9415004909388,1,88.5011082931092,20.2098484952082
2020-03-16,India,32,1,125,3,44.71,0,299727.736907649,228.11478545525,47.1483068952912,31.1085016975994,1,100.423006000589,19.490134903965
2020-03-17,India,12,0,137,3,44.71,0,299696.628405952,253.948071919617,52.4235221285138,34.6560217089136,1,112.6853173607,22.3764285071895
2020-03-18,India,28,0,165,3,53.3,0,299661.972384243,282.726707381202,58.3009083758823,38.6250567946699,1,116.85857575581,38.6678094243621
2020-03-19,India,26,1,191,4,53.3,0,299623.347327448,314.800428952271,64.8522435994341,43.0566032241331,1,153.61222700259,29.3311687727741
2020-03-20,India,40,0,231,4,61.24,0.001,299580.290724224,350.55295046478,72.1563253110809,47.99165726715,1,175.079662132329,35.9075022860093
2020-03-21,India,89,0,320,4,61.24,0.001,299532.299066957,390.401962470382,80.2989705726083,53.4712151931017,1,208.544731526444,65.4077029285959
