,geoId,countriesAndTerritories,Dates,days_outbreak,total_cases,cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,rolling_std,Stages,Components
7774,KOR,South Korea,2020-02-24,5,762,161,7,2,14.863,3.14,0.137,0.039,28615,5982,0.558,0.117,cases tested,0.004516332949132,2,2
7775,KOR,South Korea,2020-02-25,6,892,130,8,1,17.398,2.536,0.156,0.02,36716,8101,0.716,0.158,cases tested,0.006090271696863,2,2
7776,KOR,South Korea,2020-02-26,7,1146,254,11,3,22.353,4.954,0.215,0.059,46127,9411,0.9,0.184,cases tested,0.00598623803186,2,2
7777,KOR,South Korea,2020-02-27,8,1595,449,12,1,31.11,8.758,0.234,0.02,57990,11863,1.131,0.231,cases tested,0.01491757735022,3,1
7778,KOR,South Korea,2020-02-28,9,2022,427,13,1,39.439,8.329,0.254,0.02,70940,12950,1.384,0.253,cases tested,0.009907276155187,3,1
7779,KOR,South Korea,2020-02-29,10,2931,909,16,3,57.169,17.73,0.312,0.059,85693,14753,1.671,0.288,cases tested,0.025246230794113,4,3
7780,KOR,South Korea,2020-03-01,11,3526,595,17,1,68.774,11.605,0.332,0.02,96985,11292,1.892,0.22,cases tested,0.02269550870556,3,1
7781,KOR,South Korea,2020-03-02,12,4212,686,22,5,82.155,13.38,0.429,0.098,109591,12606,2.138,0.246,cases tested,0.014986831085964,4,3
7782,KOR,South Korea,2020-03-03,13,4812,600,28,6,93.858,11.703,0.546,0.117,125851,16260,2.455,0.317,cases tested,0.004745512268063,3,1
7783,KOR,South Korea,2020-03-04,14,5328,516,32,4,103.922,10.065,0.624,0.078,136707,10856,2.666,0.212,cases tested,0.007885154059527,3,1
7784,KOR,South Korea,2020-03-05,15,5766,438,35,3,112.465,8.543,0.683,0.059,146541,9834,2.858,0.192,cases tested,0.007515632319306,3,1
7785,KOR,South Korea,2020-03-06,16,6284,518,42,7,122.569,10.104,0.819,0.137,164740,18199,3.213,0.355,cases tested,0.004232062365102,3,1
7786,KOR,South Korea,2020-03-07,17,6767,483,44,2,131.99,9.421,0.858,0.039,178189,13449,3.476,0.262,cases tested,0.003720225545923,3,1
7787,KOR,South Korea,2020-03-08,18,7134,367,50,6,139.148,7.158,0.975,0.117,188518,10329,3.677,0.201,cases tested,0.007331907751471,3,1
7788,KOR,South Korea,2020-03-09,19,7382,248,51,1,143.985,4.837,0.995,0.02,196618,8100,3.835,0.158,cases tested,0.01090011052375,2,2
7789,KOR,South Korea,2020-03-10,20,7513,131,54,3,146.54,2.555,1.053,0.059,210144,13526,4.099,0.264,cases tested,0.010946327682832,2,2
7790,KOR,South Korea,2020-03-11,21,7755,242,60,6,151.26,4.72,1.17,0.117,222395,12251,4.338,0.239,cases tested,0.006111898482386,2,2
7791,KOR,South Korea,2020-03-12,22,7869,114,66,6,153.484,2.224,1.287,0.117,234998,12603,4.584,0.246,cases tested,0.006448514507776,1,0
7792,KOR,South Korea,2020-03-13,23,7979,110,67,1,155.63,2.146,1.307,0.02,248647,13649,4.85,0.266,cases tested,0.006964951502932,1,0
7794,KOR,South Korea,2020-03-15,25,8162,76,75,3,159.199,1.482,1.463,0.059,268212,6877,5.231,0.134,cases tested,0.001746172900865,1,0
7795,KOR,South Korea,2020-03-16,26,8236,74,75,0,160.642,1.443,1.463,0,274504,6292,5.354,0.123,cases tested,0.001716349917919,1,0
7798,KOR,South Korea,2020-03-19,29,8565,152,91,5,167.059,2.965,1.775,0.098,307024,11377,5.988,0.222,cases tested,0.003426427003949,2,2
7799,KOR,South Korea,2020-03-20,30,8652,87,100,9,168.756,1.697,1.95,0.176,316664,9640,6.176,0.188,cases tested,0.003332208726913,1,0
7800,KOR,South Korea,2020-03-21,31,8799,147,103,3,171.624,2.867,2.009,0.059,327509,10845,6.388,0.212,cases tested,0.00335537019391,2,2
7801,KOR,South Korea,2020-03-22,32,8897,98,104,1,173.535,1.911,2.029,0.02,331780,4271,6.471,0.083,cases tested,0.002963140719371,1,0
7802,KOR,South Korea,2020-03-23,33,8961,64,113,9,174.783,1.248,2.204,0.176,338036,6256,6.593,0.122,cases tested,0.003870620787574,1,0
7803,KOR,South Korea,2020-03-24,34,9037,76,120,7,176.266,1.482,2.341,0.137,348582,10546,6.799,0.206,cases tested,0.001599569221568,1,0
7804,KOR,South Korea,2020-03-25,35,9137,100,126,6,178.216,1.95,2.458,0.117,357896,9314,6.981,0.182,cases tested,0.001700399144696,1,0
7805,KOR,South Korea,2020-03-26,36,9241,104,131,5,180.245,2.029,2.555,0.098,364942,7046,7.118,0.137,cases tested,0.001404801075028,1,0
7807,KOR,South Korea,2020-03-28,38,9478,146,144,5,184.867,2.848,2.809,0.098,387925,10964,7.566,0.214,cases tested,0.002666606142529,2,2
7808,KOR,South Korea,2020-03-29,39,9583,105,152,8,186.915,2.048,2.965,0.156,394141,6216,7.688,0.121,cases tested,0.002651503882738,1,0
7809,KOR,South Korea,2020-03-30,40,9661,78,158,6,188.437,1.521,3.082,0.117,395194,1053,7.708,0.021,cases tested,0.003176192354031,1,0
7810,KOR,South Korea,2020-03-31,41,9786,125,163,5,190.875,2.438,3.179,0.098,410564,15370,8.008,0.3,cases tested,0.002188007368007,2,2
7811,KOR,South Korea,2020-04-01,42,9786,0,163,0,190.875,0,3.179,0,421547,10983,8.222,0.214,cases tested,0.005856903179095,1,0
7812,KOR,South Korea,2020-04-02,43,9976,190,169,6,194.581,3.706,3.296,0.117,431743,10196,8.421,0.199,cases tested,0.008957888643705,2,2
7813,KOR,South Korea,2020-04-03,44,10062,86,174,5,196.258,1.677,3.394,0.098,443273,11530,8.646,0.225,cases tested,0.008825788417266,1,0
7814,KOR,South Korea,2020-04-04,45,10156,94,177,3,198.092,1.833,3.452,0.059,455032,11759,8.875,0.229,cases tested,0.005368592310256,1,0
7816,KOR,South Korea,2020-04-06,47,10284,47,186,3,200.588,0.917,3.628,0.059,466804,5571,9.105,0.109,cases tested,0.002251328589891,1,0
7817,KOR,South Korea,2020-04-07,48,10331,47,192,6,201.505,0.917,3.745,0.117,477304,10500,9.31,0.205,cases tested,0.001820956322119,1,0
7820,KOR,South Korea,2020-04-10,51,10450,27,208,4,203.826,0.527,4.057,0.078,503051,8340,9.812,0.163,cases tested,0.00120712562127,1,0
7821,KOR,South Korea,2020-04-11,52,10450,0,208,0,203.826,0,4.057,0,510479,7428,9.957,0.145,cases tested,0.001852967008853,1,0
7822,KOR,South Korea,2020-04-12,53,10512,62,214,6,205.035,1.209,4.174,0.117,514621,4142,10.038,0.081,cases tested,0.002883664423509,1,0
7823,KOR,South Korea,2020-04-13,54,10537,25,217,3,205.523,0.488,4.233,0.059,518743,4122,10.118,0.08,cases tested,0.002893594426805,1,0
7824,KOR,South Korea,2020-04-14,55,10564,27,222,5,206.05,0.527,4.33,0.098,527438,8695,10.288,0.17,cases tested,0.001930301674089,1,0
10611,NZL,New Zealand,2020-03-18,1,20,12,0,0,4.147,2.488,0,0,2919,1209,0.605,0.251,tests performed,0.005363988121956,2,3
10612,NZL,New Zealand,2020-03-19,2,28,8,0,0,5.806,1.659,0,0,4210,1291,0.873,0.268,tests performed,0.004438468215915,1,1
10613,NZL,New Zealand,2020-03-20,3,39,11,0,0,8.088,2.281,0,0,5764,1554,1.195,0.322,tests performed,0.00183568430288,2,3
10614,NZL,New Zealand,2020-03-21,4,53,14,0,0,10.991,2.903,0,0,6940,1176,1.439,0.244,tests performed,0.002645502645503,2,3
10615,NZL,New Zealand,2020-03-22,5,66,13,0,0,13.687,2.696,0,0,8196,1256,1.7,0.26,tests performed,0.001347024013802,2,3
10616,NZL,New Zealand,2020-03-23,6,102,36,0,0,21.152,7.465,0,0,9246,1050,1.917,0.218,tests performed,0.011463844797178,3,0
10617,NZL,New Zealand,2020-03-24,7,142,40,0,0,29.447,8.295,0,0,10790,1544,2.238,0.32,tests performed,0.012849790120161,3,0
10618,NZL,New Zealand,2020-03-25,8,189,47,0,0,39.193,9.747,0,0,13382,2592,2.775,0.538,tests performed,0.004909845117134,3,0
10619,NZL,New Zealand,2020-03-26,9,262,73,0,0,54.332,15.138,0,0,15499,2117,3.214,0.439,tests performed,0.015333099771599,4,2
10620,NZL,New Zealand,2020-03-27,10,338,76,0,0,70.092,15.76,0,0,17566,2067,3.643,0.429,tests performed,0.01406334357896,4,2
10621,NZL,New Zealand,2020-03-28,11,416,78,0,0,86.267,16.175,0,0,19375,1809,4.018,0.375,tests performed,0.002219234107957,4,2
10622,NZL,New Zealand,2020-03-29,12,476,60,1,1,98.709,12.442,0.207,0.207,20293,918,4.208,0.19,tests performed,0.008699969774808,4,2
10623,NZL,New Zealand,2020-03-30,13,552,76,1,0,114.47,15.76,0.207,0,21684,1391,4.497,0.288,tests performed,0.008699969774808,4,2
10624,NZL,New Zealand,2020-03-31,14,647,95,1,0,134.17,19.7,0.207,0,23777,2093,4.931,0.434,tests performed,0.015450983657791,4,2
10625,NZL,New Zealand,2020-04-01,15,647,0,1,0,134.17,0,0.207,0,26339,2562,5.462,0.531,tests performed,0.044329166587502,1,1
10626,NZL,New Zealand,2020-04-02,16,723,76,1,0,149.931,15.76,0.207,0,29785,3446,6.177,0.715,tests performed,0.044329166587502,4,2
10627,NZL,New Zealand,2020-04-03,17,772,49,1,0,160.092,10.161,0.207,0,33416,3631,6.93,0.753,tests performed,0.033974468057047,3,0
10628,NZL,New Zealand,2020-04-04,18,824,52,1,0,170.875,10.783,0.207,0,36509,3093,7.571,0.641,tests performed,0.013049954662212,3,0
10629,NZL,New Zealand,2020-04-05,19,872,48,1,0,180.829,9.954,0.207,0,40218,3709,8.34,0.769,tests performed,0.00183568430288,3,0
10630,NZL,New Zealand,2020-04-06,20,911,39,1,0,188.917,8.088,0.207,0,43126,2908,8.943,0.603,tests performed,0.005871541550687,3,0
10631,NZL,New Zealand,2020-04-07,21,943,32,1,0,195.553,6.636,0.207,0,47175,4049,9.783,0.84,tests performed,0.007073021408299,3,0
10632,NZL,New Zealand,2020-04-08,22,969,26,1,0,200.944,5.392,0.207,0,51165,3990,10.61,0.827,tests performed,0.005737572397397,2,3
10633,NZL,New Zealand,2020-04-09,23,992,23,1,0,205.714,4.77,0.207,0,55685,4520,11.548,0.937,tests performed,0.004041072041407,2,3
10634,NZL,New Zealand,2020-04-10,24,1015,23,2,1,210.483,4.77,0.415,0.207,58746,3061,12.182,0.635,tests performed,0.001527381664522,2,3
10635,NZL,New Zealand,2020-04-11,25,1035,20,4,2,214.631,4.147,0.829,0.415,61167,2421,12.684,0.502,tests performed,0.001527381664522,2,3
10636,NZL,New Zealand,2020-04-12,26,1049,14,4,0,217.534,2.903,0.829,0,62827,1660,13.029,0.344,tests performed,0.004041072041407,2,3
10637,NZL,New Zealand,2020-04-13,27,1064,15,5,1,220.645,3.111,1.037,0.207,64399,1572,13.355,0.326,tests performed,0.002834700400056,2,3
10638,NZL,New Zealand,2020-04-14,28,1072,8,9,4,222.304,1.659,1.866,0.829,66499,2100,13.79,0.435,tests performed,0.003338570456085,1,1
10639,NZL,New Zealand,2020-04-15,29,1078,6,9,0,223.548,1.244,1.866,0,70160,3661,14.549,0.759,tests performed,0.004167385913803,1,1
10640,NZL,New Zealand,2020-04-16,30,1084,6,9,0,224.792,1.244,1.866,0,74401,4241,15.429,0.879,tests performed,0.001018254443014,1,1
10641,NZL,New Zealand,2020-04-17,31,1086,2,11,2,225.207,0.415,2.281,0.415,79078,4677,16.399,0.97,tests performed,0.00203650888603,1,1
10642,NZL,New Zealand,2020-04-18,32,1094,8,11,0,226.866,1.659,2.281,0,83224,4146,17.258,0.86,tests performed,0.002694048027605,1,1
10643,NZL,New Zealand,2020-04-19,33,1098,4,12,1,227.695,0.829,2.488,0.207,86305,3081,17.897,0.639,tests performed,0.002694048027605,1,1
10644,NZL,New Zealand,2020-04-20,34,1105,7,12,0,229.147,1.452,2.488,0,89508,3203,18.562,0.664,tests performed,0.00183568430288,1,1
10645,NZL,New Zealand,2020-04-21,35,1107,2,13,1,229.562,0.415,2.696,0.207,94797,5289,19.658,1.097,tests performed,0.002219234107957,1,1
10646,NZL,New Zealand,2020-04-22,36,1112,5,14,1,230.599,1.037,2.903,0.207,101277,6480,21.002,1.344,tests performed,0.002219234107957,1,1
10647,NZL,New Zealand,2020-04-23,37,1112,0,16,2,230.599,0,3.318,0.415,108238,6961,22.446,1.444,tests performed,0.002219234107957,1,1
10648,NZL,New Zealand,2020-04-24,38,1114,2,17,1,231.013,0.415,3.525,0.207,115015,6777,23.851,1.405,tests performed,0.002219234107957,1,1
10649,NZL,New Zealand,2020-04-25,39,1117,3,18,1,231.635,0.622,3.733,0.207,120981,5966,25.088,1.237,tests performed,0.001347024013802,1,1
10651,NZL,New Zealand,2020-04-27,41,1122,1,19,1,232.672,0.207,3.94,0.207,126066,2146,26.143,0.445,tests performed,0.001347024013802,1,1
10652,NZL,New Zealand,2020-04-28,42,1124,2,19,0,233.087,0.415,3.94,0,128703,2637,26.69,0.547,tests performed,0.001347024013802,1,1
