Date,day,month,year,popData2018,Daily_total_tests,Daily_tests_per_thousand,tests_per_thousand,cases,deaths,Lockdown,Public_Health,Governance_and_socioeconomic,Humanitarian_exemption,Social_distancing,Movement_restrictions
2020-03-07,7,3,2020,66488991,1122,0.017,0.319,48,0,0,0,0,0,0,0
2020-03-08,8,3,2020,66488991,2053,0.03,0.349,43,1,0,0,0,0,0,0
2020-03-09,9,3,2020,66488991,1447,0.021,0.371,67,1,0,0,0,0,0,0
2020-03-10,10,3,2020,66488991,1301,0.019,0.39,48,2,0,0,0,0,0,0
2020-03-11,11,3,2020,66488991,1215,0.018,0.408,52,1,0,1,0,0,0,0
2020-03-12,12,3,2020,66488991,2288,0.034,0.442,83,0,0,2,0,0,0,0
2020-03-13,13,3,2020,66488991,3007,0.045,0.487,134,4,0,3,1,0,0,0
2020-03-14,14,3,2020,66488991,4975,0.074,0.561,117,0,0,4,2,0,0,0
2020-03-15,15,3,2020,66488991,2533,0.038,0.598,433,11,0,5,3,0,0,0
2020-03-16,16,3,2020,66488991,3826,0.057,0.655,251,14,0,7,4,0,1,0
2020-03-17,17,3,2020,66488991,6337,0.094,0.749,152,20,0,9,5,0,2,0
2020-03-18,18,3,2020,66488991,5779,0.086,0.835,407,5,0,11,6,0,3,0
2020-03-19,19,3,2020,66488991,8400,0.125,0.96,680,43,0,13,7,0,4,0
2020-03-20,20,3,2020,66488991,2355,0.035,0.995,647,41,0,15,8,0,6,0
2020-03-21,21,3,2020,66488991,5842,0.087,1.081,706,33,0,17,9,0,9,0
2020-03-22,22,3,2020,66488991,5522,0.082,1.163,1035,56,0,19,10,0,12,0
2020-03-23,23,3,2020,66488991,5605,0.083,1.247,665,48,0,21,11,0,15,0
2020-03-24,24,3,2020,66488991,6491,0.096,1.343,967,54,1,23,12,0,18,1
2020-03-25,25,3,2020,66488991,6583,0.098,1.441,1427,87,2,25,13,0,21,2
2020-03-26,26,3,2020,66488991,7847,0.117,1.557,1452,41,3,27,14,0,24,3
2020-03-27,27,3,2020,66488991,8911,0.132,1.69,2129,115,4,29,15,0,27,4
2020-03-28,28,3,2020,66488991,6999,0.104,1.794,2885,181,5,31,16,0,30,5
2020-03-29,29,3,2020,66488991,6961,0.103,1.897,2546,260,6,33,17,0,33,6
2020-03-30,30,3,2020,66488991,7209,0.107,2.004,2433,209,7,35,18,0,36,7
2020-03-31,31,3,2020,66488991,8240,0.122,2.126,2619,180,8,37,19,0,39,8
2020-04-01,1,4,2020,66488991,9793,0.145,2.272,3009,381,9,39,20,0,42,9
2020-04-02,2,4,2020,66488991,10215,0.152,2.424,4324,743,10,41,21,0,45,10
2020-04-03,3,4,2020,66488991,10590,0.157,2.581,4244,389,11,43,22,0,48,11
2020-04-04,4,4,2020,66488991,9406,0.14,2.721,4450,684,12,45,23,0,51,12
2020-04-05,5,4,2020,66488991,12334,0.183,2.904,3735,708,13,47,24,0,54,13
2020-04-06,6,4,2020,66488991,13313,0.198,3.101,5903,621,14,49,25,0,57,14
2020-04-07,7,4,2020,66488991,4344,0.065,3.166,3802,439,15,51,26,0,60,15
2020-04-08,8,4,2020,66488991,19527,0.29,3.456,3634,786,16,53,27,0,63,16
2020-04-09,9,4,2020,66488991,10713,0.159,3.615,5491,938,17,55,28,0,66,17
