,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,Date,Lockdown,Public Health Measures,Governance and socio-economic measures,Humanitarian exemption,Social distancing,Movement restrictions
26,26/01/2020,26,1,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-01-26,0.0,5.0,6.0,0.0,0.0,0.0
27,27/01/2020,27,1,2020,3,0,United_States_of_America,US,USA,327167434.0,2020-01-27,0.0,6.0,7.0,0.0,0.0,0.0
28,28/01/2020,28,1,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-01-28,0.0,7.0,8.0,0.0,0.0,0.0
29,29/01/2020,29,1,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-01-29,0.0,8.0,9.0,0.0,0.0,0.0
30,30/01/2020,30,1,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-01-30,0.0,9.0,10.0,0.0,0.0,0.0
31,31/01/2020,31,1,2020,1,0,United_States_of_America,US,USA,327167434.0,2020-01-31,0.0,10.0,12.0,0.0,0.0,1.0
32,01/02/2020,1,2,2020,1,0,United_States_of_America,US,USA,327167434.0,2020-02-01,0.0,11.0,14.0,0.0,0.0,2.0
33,02/02/2020,2,2,2020,1,0,United_States_of_America,US,USA,327167434.0,2020-02-02,0.0,12.0,16.0,0.0,0.0,3.0
34,03/02/2020,3,2,2020,3,0,United_States_of_America,US,USA,327167434.0,2020-02-03,0.0,13.0,18.0,0.0,0.0,4.0
35,04/02/2020,4,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-04,0.0,14.0,20.0,0.0,0.0,5.0
36,05/02/2020,5,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-05,0.0,15.0,22.0,0.0,0.0,6.0
37,06/02/2020,6,2,2020,1,0,United_States_of_America,US,USA,327167434.0,2020-02-06,0.0,16.0,24.0,0.0,0.0,7.0
38,07/02/2020,7,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-07,0.0,17.0,26.0,0.0,0.0,8.0
39,08/02/2020,8,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-08,0.0,18.0,28.0,0.0,0.0,9.0
40,09/02/2020,9,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-09,0.0,19.0,30.0,0.0,0.0,10.0
41,10/02/2020,10,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-10,0.0,20.0,32.0,0.0,0.0,11.0
42,11/02/2020,11,2,2020,1,0,United_States_of_America,US,USA,327167434.0,2020-02-11,0.0,21.0,34.0,0.0,0.0,12.0
43,12/02/2020,12,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-12,0.0,22.0,36.0,0.0,0.0,13.0
44,13/02/2020,13,2,2020,1,0,United_States_of_America,US,USA,327167434.0,2020-02-13,0.0,23.0,38.0,0.0,0.0,14.0
45,14/02/2020,14,2,2020,1,0,United_States_of_America,US,USA,327167434.0,2020-02-14,0.0,24.0,40.0,0.0,0.0,15.0
46,15/02/2020,15,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-15,0.0,25.0,42.0,0.0,0.0,16.0
